Dataset Parameters,Mean Wait Time (FIFO),Wait Time Stdev (FIFO),Mean Wait Time (GP),Wait Time Stdev (GP),Mean Unload Time (FIFO),Unload Time Stdev (FIFO),Mean Unload Time (GP),Unload Time Stdev (GP),Mean Overtime (FIFO),Overtime Stdev (FIFO),Mean Overtime (GP),Overtime Stdev (GP)
"Trucks: 12, Peaks: [[12, 1], [15, 0.6]], Spread: 3, Seed: 447888",343.53,46.48,318.63,27.84,683.31,11.29,683.51,11.23,57.94,12.35,59.43,7.23
"Trucks: 12, Peaks: [[12, 1], [15, 0.6]], Spread: 3, Seed: 176955",77.9,15.62,74.79,12.79,416.22,20.59,383.1,11.34,0.0,0.00,0.0,0.00
"Trucks: 12, Peaks: [[13, 1], [17, 0.6]], Spread: 3, Seed: 984035",153.16,35.47,119.5,24.42,489.19,21.39,483.52,13.70,50.82,12.09,49.04,10.80
"Trucks: 16, Peaks: [[12, 1], [14, 0.6]], Spread: 3, Seed: 468338",1264.66,82.93,1036.86,66.62,798.64,15.01,789.8,15.03,194.64,23.64,212.48,22.48
"Trucks: 12, Peaks: [[13, 1], [16, 0.6]], Spread: 3, Seed: 78000",415.86,32.14,287.73,24.03,678.09,15.59,667.47,11.39,12.3,5.39,11.35,4.49
"Trucks: 16, Peaks: [[11, 1], [15, 0.6]], Spread: 3, Seed: 655901",550.49,63.16,457.73,48.51,811.28,19.76,787.49,14.25,0.34,1.42,0.35,1.42
"Trucks: 12, Peaks: [[12, 1], [14, 0.6]], Spread: 3, Seed: 47701",224.06,19.35,177.02,15.74,627.3,11.46,559.47,13.36,0.0,0.00,0.0,0.00
"Trucks: 16, Peaks: [[12, 1], [15, 0.6]], Spread: 3, Seed: 92794",713.66,36.76,523.02,37.08,834.86,14.80,823.94,13.96,152.02,18.87,125.83,15.94
"Trucks: 12, Peaks: [[13, 1], [15, 0.6]], Spread: 3, Seed: 875357",146.18,48.96,92.46,21.57,546.87,25.40,473.78,11.75,0.0,0.00,0.0,0.00
"Trucks: 12, Peaks: [[10, 1], [16, 0.6]], Spread: 3, Seed: 411430",243.48,23.57,208.79,15.09,570.72,20.64,566.29,11.05,88.86,15.80,76.43,10.11
"Trucks: 12, Peaks: [[9, 1], [16, 0.6]], Spread: 3, Seed: 899516",134.46,20.96,97.85,22.08,569.4,25.61,541.39,12.34,1.52,2.48,1.52,2.48
"Trucks: 12, Peaks: [[10, 1], [14, 0.6]], Spread: 3, Seed: 420563",37.5,10.22,37.5,10.22,692.19,11.20,692.17,10.40,0.0,0.00,0.0,0.00
"Trucks: 12, Peaks: [[10, 1], [14, 0.6]], Spread: 3, Seed: 400410",261.02,21.57,202.75,16.08,635.56,15.69,613.51,11.77,0.0,0.00,0.0,0.00
"Trucks: 16, Peaks: [[11, 1], [15, 0.6]], Spread: 3, Seed: 567587",389.92,40.59,325.45,31.62,886.56,34.75,896.83,13.07,65.96,18.50,52.51,4.90
"Trucks: 16, Peaks: [[9, 1], [17, 0.6]], Spread: 3, Seed: 651991",785.16,31.73,676.53,29.57,865.19,14.51,836.73,13.81,59.54,10.49,59.63,10.53
"Trucks: 16, Peaks: [[12, 1], [14, 0.6]], Spread: 3, Seed: 446973",994.95,55.28,527.72,36.61,860.33,13.89,810.82,12.99,6.5,7.75,27.31,7.21
"Trucks: 16, Peaks: [[12, 1], [14, 0.6]], Spread: 3, Seed: 715144",544.29,57.58,437.51,52.61,638.11,15.29,610.83,12.68,0.45,1.83,0.0,0.00
"Trucks: 16, Peaks: [[13, 1], [16, 0.6]], Spread: 3, Seed: 114639",182.57,40.48,144.28,26.33,538.17,17.09,549.89,14.15,0.0,0.00,0.0,0.00
"Trucks: 12, Peaks: [[11, 1], [14, 0.6]], Spread: 4, Seed: 40815",254.44,33.27,207.5,17.67,640.82,13.16,552.41,13.29,2.43,4.92,4.09,5.79
"Trucks: 12, Peaks: [[9, 1], [16, 0.6]], Spread: 4, Seed: 276119",594.47,45.20,549.28,44.90,682.76,12.31,656.59,12.24,35.28,4.35,9.14,4.41
"Trucks: 16, Peaks: [[9, 1], [16, 0.6]], Spread: 3, Seed: 510758",1205.03,64.74,974.83,65.39,792.47,15.69,791.55,12.27,4.04,7.51,3.37,4.03
